Player Hand,Dealer Card,Claude Choice,Gemini Choice,GPT Choice
"[""5"", ""Q""]",4,hit,double down,stand
"[""5"", ""Q""]",4,hit,double down,stand
"[""5"", ""Q""]",4,hit,double down,stand
"[""3"", ""10""]",Q,hit,double down,hit
"[""3"", ""10""]",Q,hit,double down,hit
"[""3"", ""10""]",Q,hit,double down,hit
"[""Q"", ""10""]",9,stand,stand,stand
"[""Q"", ""10""]",9,stand,stand,stand
"[""Q"", ""10""]",9,stand,stand,stand
"[""Q"", ""10""]",9,stand,stand,stand
"[""Q"", ""10""]",9,stand,stand,stand
"[""Q"", ""K""]",J,stand,stand,stand
"[""Q"", ""K""]",J,stand,stand,stand
"[""Q"", ""K""]",J,stand,stand,stand
"[""Q"", ""K""]",J,stand,stand,stand
"[""Q"", ""K""]",J,stand,stand,stand
"[""Q"", ""K""]",J,stand,stand,stand
"[""8"", ""A""]",J,hit,double down,stand
"[""8"", ""A""]",J,hit,double down,stand
"[""8"", ""A""]",J,hit,double down,stand
"[""6"", ""10""]",10,hit,double down,surrender
"[""6"", ""10""]",10,hit,double down,surrender
"[""6"", ""10""]",10,hit,double down,surrender
"[""6"", ""10""]",10,hit,double down,surrender
"[""6"", ""10""]",10,hit,double down,surrender
"[""6"", ""10""]",10,hit,double down,surrender
"[""6"", ""10""]",10,hit,double down,surrender
"[""6"", ""10""]",10,hit,double down,surrender
"[""5"", ""A""]",J,hit,double down,hit
"[""5"", ""A""]",J,hit,double down,hit
"[""5"", ""A""]",J,hit,double down,hit
"[""5"", ""A""]",J,hit,double down,hit
"[""K"", ""4""]",A,hit,hit,surrender
"[""K"", ""4""]",A,hit,hit,surrender
"[""K"", ""4""]",A,hit,hit,surrender
"[""K"", ""4""]",A,hit,hit,surrender
"[""K"", ""4""]",A,hit,hit,surrender
"[""2"", ""2""]",5,split,split,split
"[""2"", ""2""]",5,split,split,split
"[""2"", ""2""]",5,split,split,split
"[""2"", ""2""]",5,split,split,split
"[""2"", ""2""]",5,split,split,split
"[""2"", ""2""]",5,split,split,split
"[""2"", ""J""]",6,hit,double down,stand
"[""2"", ""J""]",6,hit,double down,stand
"[""2"", ""J""]",6,hit,double down,stand
"[""2"", ""J""]",6,hit,double down,stand
"[""2"", ""J""]",6,hit,double down,stand
"[""2"", ""J""]",6,hit,double down,stand
"[""6"", ""6""]",A,split,split,surrender
"[""6"", ""6""]",A,split,split,surrender
"[""6"", ""6""]",A,split,split,surrender
"[""6"", ""6""]",A,split,split,surrender
"[""6"", ""6""]",A,split,split,surrender
"[""6"", ""6""]",A,split,split,surrender
"[""5"", ""A""]",5,double down,double down,Double Down
"[""5"", ""A""]",5,double down,double down,double down
"[""5"", ""A""]",5,double down,double down,double down
"[""5"", ""A""]",5,double down,double down,Double Down
"[""5"", ""A""]",5,double down,double down,double down
"[""5"", ""A""]",5,double down,double down,double down
"[""5"", ""A""]",5,double down,double down,Double Down
"[""5"", ""A""]",5,double down,double down,double down
"[""5"", ""A""]",5,double down,double down,double down
"[""5"", ""A""]",5,double down,double down,Double Down
"[""5"", ""A""]",5,double down,double down,double down
"[""5"", ""A""]",5,double down,double down,double down
"[""5"", ""A""]",5,double down,double down,Double Down
"[""5"", ""A""]",5,double down,double down,double down
"[""5"", ""A""]",5,double down,double down,double down
"[""6"", ""4""]",Q,hit,hit,hit
"[""6"", ""4""]",Q,hit,hit,hit
"[""6"", ""4""]",Q,hit,hit,hit
"[""6"", ""4""]",Q,hit,hit,hit
"[""6"", ""4""]",Q,hit,hit,hit
"[""A"", ""8""]",Q,stand,stand,stand
"[""A"", ""8""]",Q,stand,stand,stand
"[""A"", ""8""]",Q,stand,stand,stand
"[""A"", ""8""]",Q,stand,stand,stand
"[""K"", ""A""]",8,stand,Stand,stand
"[""K"", ""A""]",8,stand,stand,stand
"[""K"", ""A""]",8,stand,stand,stand
"[""6"", ""Q""]",A,hit,double down,surrender
"[""6"", ""Q""]",A,hit,double down,surrender
"[""6"", ""Q""]",A,hit,double down,surrender
"[""6"", ""Q""]",A,hit,double down,surrender
"[""6"", ""Q""]",A,hit,double down,surrender
"[""6"", ""Q""]",A,hit,double down,surrender
"[""4"", ""6""]",A,hit,double down,hit
"[""4"", ""6""]",A,hit,double down,hit
"[""4"", ""6""]",A,hit,hit,hit
"[""4"", ""6""]",A,hit,hit,hit
"[""4"", ""6""]",A,hit,hit,hit
"[""4"", ""6""]",A,hit,hit,hit
"[""4"", ""6""]",A,hit,hit,hit
"[""4"", ""6""]",A,hit,hit,hit
"[""4"", ""6""]",A,hit,hit,hit
"[""4"", ""6""]",A,hit,hit,hit
"[""3"", ""9""]",J,hit,double down,hit
"[""3"", ""9""]",J,hit,hit,hit
"[""3"", ""9""]",J,hit,hit,hit
"[""3"", ""9""]",J,hit,hit,hit
"[""3"", ""9""]",J,hit,hit,hit
"[""3"", ""9""]",J,hit,hit,hit
"[""7"", ""5""]",J,hit,double down,hit
"[""7"", ""5""]",J,hit,double down,hit
"[""7"", ""5""]",J,hit,double down,hit
"[""7"", ""5""]",J,hit,double down,surrender
"[""7"", ""5""]",J,hit,hit,hit
"[""7"", ""5""]",J,hit,hit,hit
"[""7"", ""5""]",J,hit,hit,hit
"[""7"", ""5""]",J,hit,hit,surrender
"[""7"", ""5""]",J,hit,hit,hit
"[""7"", ""5""]",J,hit,hit,hit
"[""7"", ""5""]",J,hit,hit,hit
"[""7"", ""5""]",J,hit,hit,surrender
"[""2"", ""4""]",6,hit,double down,hit
"[""2"", ""4""]",6,hit,double down,hit
"[""2"", ""4""]",6,hit,double down,hit
"[""2"", ""4""]",6,hit,double down,hit
"[""2"", ""4""]",6,hit,double down,hit
"[""2"", ""4""]",6,hit,double down,hit
"[""2"", ""4""]",6,hit,double down,hit
"[""2"", ""4""]",6,hit,double down,hit
"[""2"", ""4""]",6,hit,double down,hit
"[""2"", ""4""]",6,hit,double down,hit
"[""2"", ""4""]",6,hit,double down,hit
"[""2"", ""4""]",6,hit,double down,hit
"[""J"", ""Q""]",5,stand,stand,stand
"[""J"", ""Q""]",5,stand,stand,stand
"[""J"", ""Q""]",5,stand,stand,stand
"[""9"", ""K""]",9,stand,Stand,stand
"[""9"", ""K""]",9,stand,Stand,stand
"[""9"", ""K""]",9,stand,stand,stand
"[""3"", ""5""]",4,hit,double down,double down
"[""3"", ""5""]",4,hit,double down,double down
"[""3"", ""5""]",4,hit,double down,double down
"[""3"", ""8""]",6,hit,double down,Double Down
"[""3"", ""8""]",6,hit,double down,double down
"[""3"", ""8""]",6,hit,double down,double down
"[""3"", ""8""]",6,hit,double down,Double Down
"[""3"", ""8""]",6,hit,double down,double down
"[""3"", ""8""]",6,hit,double down,double down
"[""3"", ""8""]",6,hit,double down,Double Down
"[""3"", ""8""]",6,hit,double down,double down
"[""3"", ""8""]",6,hit,double down,double down
"[""3"", ""8""]",6,hit,double down,Double Down
"[""3"", ""8""]",6,hit,double down,double down
"[""3"", ""8""]",6,hit,double down,double down
"[""3"", ""8""]",6,hit,double down,Double Down
"[""3"", ""8""]",6,hit,double down,double down
"[""3"", ""8""]",6,hit,double down,double down
"[""3"", ""8""]",6,hit,double down,Double Down
"[""3"", ""8""]",6,hit,double down,double down
"[""3"", ""8""]",6,hit,double down,double down
"[""4"", ""9""]",K,hit,hit,surrender
"[""4"", ""9""]",K,hit,hit,surrender
"[""4"", ""9""]",K,hit,hit,surrender
"[""8"", ""9""]",9,hit,double down,stand
"[""8"", ""9""]",9,hit,double down,stand
"[""8"", ""9""]",9,hit,double_down,stand
"[""8"", ""9""]",9,hit,hit,stand
"[""6"", ""8""]",2,hit,hit,stand
"[""6"", ""8""]",2,hit,hit,stand
"[""6"", ""8""]",2,hit,hit,stand
"[""6"", ""8""]",2,hit,hit,stand
"[""6"", ""8""]",2,hit,hit,stand
"[""6"", ""8""]",2,hit,hit,stand
"[""7"", ""9""]",5,stand,double down,stand
"[""7"", ""9""]",5,stand,double down,stand
"[""7"", ""9""]",5,stand,double down,stand
"[""7"", ""9""]",5,stand,double down,stand
"[""7"", ""9""]",5,stand,double down,stand
"[""7"", ""9""]",5,stand,double down,stand
"[""7"", ""9""]",5,stand,double down,stand
"[""7"", ""9""]",5,stand,double down,stand
"[""7"", ""7""]",J,split,split,hit
"[""7"", ""7""]",J,split,split,hit
"[""7"", ""7""]",J,split,split,hit
"[""7"", ""7""]",J,split,split,hit
"[""K"", ""5""]",2,hit,double down,stand
"[""K"", ""5""]",2,hit,double down,stand
"[""K"", ""5""]",2,hit,double down,stand
"[""K"", ""Q""]",2,stand,stand,stand
"[""K"", ""Q""]",2,stand,stand,stand
"[""K"", ""Q""]",2,stand,stand,stand
"[""K"", ""Q""]",2,stand,stand,stand
"[""K"", ""Q""]",2,stand,stand,stand
"[""K"", ""Q""]",2,stand,stand,stand
"[""K"", ""Q""]",2,stand,stand,stand
"[""K"", ""Q""]",2,stand,stand,stand
"[""K"", ""Q""]",2,stand,stand,stand
"[""K"", ""Q""]",2,stand,stand,stand
"[""K"", ""Q""]",2,stand,stand,stand
"[""K"", ""Q""]",2,stand,stand,stand
"[""K"", ""Q""]",2,stand,stand,stand
"[""K"", ""Q""]",2,stand,stand,stand
"[""K"", ""Q""]",2,stand,stand,stand
"[""K"", ""Q""]",2,stand,stand,stand
"[""K"", ""Q""]",2,stand,stand,stand
"[""K"", ""Q""]",2,stand,stand,stand
"[""K"", ""Q""]",2,stand,stand,stand
"[""K"", ""Q""]",2,stand,stand,stand
"[""K"", ""Q""]",2,stand,stand,stand
"[""K"", ""Q""]",2,stand,stand,stand
"[""K"", ""Q""]",2,stand,stand,stand
"[""K"", ""Q""]",2,stand,stand,stand
"[""K"", ""Q""]",2,stand,stand,stand
"[""2"", ""2""]",2,split,split,split
"[""2"", ""2""]",2,split,split,split
"[""2"", ""2""]",2,split,split,split
"[""2"", ""2""]",2,split,split,split
"[""2"", ""2""]",2,split,split,split
"[""2"", ""2""]",2,split,split,split
"[""2"", ""2""]",2,split,split,split
"[""4"", ""5""]",10,hit,hit,hit
"[""4"", ""5""]",10,hit,hit,hit
"[""2"", ""J""]",8,hit,double down,hit
"[""2"", ""J""]",8,hit,double down,hit
"[""2"", ""J""]",8,hit,double down,hit
"[""2"", ""J""]",8,hit,double down,hit
"[""2"", ""J""]",8,hit,double down,hit
"[""2"", ""J""]",8,hit,double down,hit
"[""2"", ""J""]",8,hit,double down,hit
"[""2"", ""J""]",8,hit,double down,hit
"[""2"", ""J""]",8,hit,double down,hit
"[""2"", ""J""]",8,hit,double down,hit
"[""2"", ""J""]",8,hit,double down,hit
"[""2"", ""J""]",8,hit,double down,hit
"[""9"", ""4""]",6,hit,double down,stand
"[""9"", ""4""]",6,hit,double down,stand
"[""9"", ""4""]",6,hit,double down,stand
"[""9"", ""4""]",6,hit,double down,stand
"[""3"", ""10""]",8,hit,double down,Hit
"[""3"", ""10""]",8,hit,double down,hit
"[""3"", ""10""]",8,hit,double down,hit
"[""3"", ""10""]",8,hit,double down,Hit
"[""3"", ""10""]",8,hit,double down,hit
"[""3"", ""10""]",8,hit,double down,hit
"[""3"", ""10""]",8,hit,double_down,Hit
"[""3"", ""10""]",8,hit,double_down,hit
"[""3"", ""10""]",8,hit,double_down,hit
"[""3"", ""10""]",8,hit,double_down,Hit
"[""3"", ""10""]",8,hit,double_down,hit
"[""3"", ""10""]",8,hit,double_down,hit
"[""7"", ""K""]",9,hit,stand,stand
"[""7"", ""K""]",9,hit,stand,stand
"[""7"", ""K""]",9,hit,stand,stand
"[""7"", ""K""]",9,hit,stand,stand
"[""7"", ""K""]",9,hit,stand,stand
"[""7"", ""K""]",9,hit,stand,stand
"[""7"", ""3""]",9,hit,double down,double down
"[""7"", ""3""]",9,hit,double down,double down
"[""7"", ""3""]",9,hit,double down,double down
"[""7"", ""3""]",9,hit,double down,double down
"[""7"", ""3""]",9,hit,hit,double down
"[""7"", ""3""]",9,hit,hit,double down
"[""7"", ""3""]",9,hit,hit,double down
"[""7"", ""3""]",9,hit,hit,double down
"[""2"", ""3""]",A,hit,hit,hit
"[""2"", ""3""]",A,hit,hit,hit
"[""2"", ""3""]",A,hit,hit,hit
"[""2"", ""3""]",A,hit,hit,hit
"[""2"", ""3""]",A,hit,hit,hit
"[""2"", ""3""]",A,hit,hit,hit
"[""2"", ""3""]",A,hit,hit,hit
"[""2"", ""3""]",A,hit,hit,hit
"[""2"", ""3""]",A,hit,hit,hit
"[""2"", ""3""]",A,hit,hit,hit
"[""2"", ""3""]",A,hit,hit,hit
"[""2"", ""3""]",A,hit,hit,hit
"[""2"", ""3""]",A,hit,hit,hit
"[""2"", ""3""]",A,hit,hit,hit
"[""2"", ""3""]",A,hit,hit,hit
"[""2"", ""3""]",A,hit,hit,hit
"[""2"", ""3""]",A,hit,hit,hit
"[""2"", ""3""]",A,hit,hit,hit
"[""6"", ""Q""]",5,hit,double down,stand
"[""6"", ""Q""]",5,hit,double down,stand
"[""6"", ""Q""]",5,hit,double down,stand
"[""6"", ""Q""]",5,hit,double down,stand
"[""6"", ""Q""]",5,hit,double down,stand
"[""3"", ""4""]",A,hit,hit,hit
"[""3"", ""4""]",A,hit,hit,hit
"[""3"", ""4""]",A,hit,hit,hit
"[""3"", ""4""]",A,hit,hit,hit
"[""3"", ""4""]",A,hit,hit,hit
"[""3"", ""4""]",A,hit,hit,hit
"[""3"", ""4""]",A,hit,hit,hit
"[""3"", ""4""]",A,hit,hit,hit
"[""8"", ""7""]",J,hit,hit,surrender
"[""8"", ""7""]",J,hit,hit,surrender
"[""8"", ""7""]",J,hit,hit,surrender
"[""8"", ""7""]",J,hit,hit,surrender
"[""8"", ""7""]",J,hit,hit,surrender
"[""8"", ""7""]",J,hit,hit,surrender
"[""8"", ""7""]",J,hit,hit,surrender
"[""8"", ""7""]",J,hit,hit,surrender
"[""8"", ""7""]",J,hit,hit,surrender
"[""8"", ""7""]",J,hit,hit,surrender
"[""8"", ""7""]",J,hit,hit,surrender
"[""8"", ""K""]",J,hit,stand,stand
"[""8"", ""K""]",J,hit,stand,stand
"[""8"", ""K""]",J,hit,stand,stand
"[""8"", ""K""]",J,hit,stand,stand
"[""8"", ""K""]",J,hit,stand,stand
"[""8"", ""K""]",J,hit,stand,stand
"[""8"", ""K""]",J,hit,stand,stand
"[""8"", ""K""]",J,hit,stand,stand
"[""8"", ""K""]",J,hit,stand,stand
"[""8"", ""K""]",J,hit,stand,stand
"[""7"", ""5""]",9,hit,double down,hit
"[""7"", ""5""]",9,hit,double down,hit
"[""7"", ""5""]",9,hit,double down,hit
"[""7"", ""5""]",9,hit,double down,hit
"[""7"", ""5""]",9,hit,double down,hit
"[""7"", ""5""]",9,hit,double down,hit
"[""7"", ""5""]",9,hit,double down,hit
"[""7"", ""5""]",9,hit,double down,hit
"[""7"", ""5""]",9,hit,hit,hit
"[""7"", ""5""]",9,hit,hit,hit
"[""7"", ""5""]",9,hit,hit,hit
"[""7"", ""5""]",9,hit,hit,hit
"[""7"", ""5""]",9,hit,hit,hit
"[""7"", ""5""]",9,hit,hit,hit
"[""J"", ""4""]",6,hit,double down,double down
"[""J"", ""4""]",6,hit,double down,stand
"[""J"", ""4""]",6,hit,double down,stand
"[""J"", ""4""]",6,hit,double down,stand
"[""J"", ""4""]",6,hit,double down,double down
"[""J"", ""4""]",6,hit,double down,stand
"[""J"", ""4""]",6,hit,double down,stand
"[""J"", ""4""]",6,hit,double down,stand
"[""J"", ""4""]",6,hit,double down,double down
"[""J"", ""4""]",6,hit,double down,stand
"[""J"", ""4""]",6,hit,double down,stand
"[""J"", ""4""]",6,hit,double down,stand
"[""J"", ""4""]",6,hit,double down,double down
"[""J"", ""4""]",6,hit,double down,stand
"[""J"", ""4""]",6,hit,double down,stand
"[""J"", ""4""]",6,hit,double down,stand
"[""7"", ""K""]",J,hit,stand,stand
"[""7"", ""K""]",J,hit,stand,stand
"[""7"", ""K""]",J,hit,stand,stand
"[""7"", ""K""]",J,hit,stand,stand
"[""A"", ""4""]",2,hit,double down,double down
"[""A"", ""4""]",2,hit,double down,hit
"[""A"", ""4""]",2,hit,double down,double down
"[""A"", ""4""]",2,hit,double down,hit
"[""A"", ""4""]",2,hit,double down,double down
"[""A"", ""4""]",2,hit,double down,hit
"[""A"", ""4""]",2,hit,double down,double down
"[""A"", ""4""]",2,hit,double down,hit
"[""Q"", ""J""]",K,stand,stand,stand
"[""Q"", ""J""]",K,stand,stand,stand
"[""Q"", ""J""]",K,stand,stand,stand
"[""Q"", ""J""]",K,stand,stand,stand
"[""Q"", ""J""]",K,stand,stand,stand
"[""Q"", ""J""]",K,stand,stand,stand
"[""Q"", ""J""]",K,stand,stand,stand
"[""Q"", ""J""]",K,stand,stand,stand
"[""Q"", ""J""]",K,stand,stand,stand
"[""Q"", ""J""]",K,stand,stand,stand
"[""Q"", ""J""]",K,stand,stand,stand
"[""Q"", ""J""]",K,stand,stand,stand
"[""K"", ""5""]",2,hit,double down,stand
"[""K"", ""5""]",2,hit,double down,stand
"[""K"", ""5""]",2,hit,double down,stand
"[""6"", ""8""]",2,hit,hit,stand
"[""6"", ""8""]",2,hit,hit,stand
"[""6"", ""8""]",2,hit,hit,stand
"[""6"", ""8""]",2,hit,hit,stand
"[""6"", ""8""]",2,hit,hit,stand
"[""6"", ""8""]",2,hit,hit,stand
"[""Q"", ""A""]",8,stand,stand,stand
"[""Q"", ""A""]",8,stand,stand,stand
"[""Q"", ""A""]",8,stand,stand,stand
"[""Q"", ""A""]",8,stand,stand,stand
"[""Q"", ""A""]",8,stand,stand,stand
"[""Q"", ""A""]",8,stand,stand,stand
"[""Q"", ""A""]",8,stand,stand,stand
"[""Q"", ""A""]",8,stand,stand,stand
"[""Q"", ""A""]",8,stand,stand,stand
"[""Q"", ""A""]",8,stand,stand,stand
"[""Q"", ""A""]",8,stand,stand,stand
"[""Q"", ""A""]",8,stand,stand,stand
"[""A"", ""Q""]",6,stand,stand,stand
"[""8"", ""K""]",6,double down,double down,stand
"[""8"", ""K""]",6,double down,double down,stand
"[""8"", ""K""]",6,double down,double down,stand
"[""8"", ""K""]",6,double down,double down,stand
"[""8"", ""K""]",6,double down,double down,stand
"[""8"", ""K""]",6,double down,double down,stand
"[""7"", ""J""]",10,hit,stand,stand
"[""7"", ""J""]",10,hit,stand,stand
"[""7"", ""J""]",10,hit,stand,stand
"[""7"", ""J""]",10,hit,stand,stand
"[""3"", ""J""]",5,hit,double down,stand
"[""3"", ""J""]",5,hit,double down,stand
"[""3"", ""J""]",5,hit,double down,stand
"[""3"", ""J""]",5,hit,double down,stand
"[""3"", ""J""]",5,hit,double down,stand
"[""3"", ""J""]",5,hit,double down,stand
"[""3"", ""J""]",5,hit,double down,stand
"[""3"", ""J""]",5,hit,double down,stand
"[""3"", ""J""]",5,hit,double down,stand
"[""3"", ""J""]",5,hit,double down,stand
"[""3"", ""J""]",5,hit,double down,stand
"[""3"", ""J""]",5,hit,double down,stand
"[""3"", ""J""]",5,hit,double down,stand
"[""3"", ""J""]",5,hit,double down,stand
"[""J"", ""Q""]",A,surrender,stand,stand
"[""J"", ""Q""]",A,surrender,stand,stand
"[""J"", ""Q""]",A,surrender,stand,stand
"[""J"", ""Q""]",A,surrender,stand,stand
"[""A"", ""Q""]",8,stand,stand,stand
"[""A"", ""Q""]",8,stand,stand,stand
"[""A"", ""Q""]",8,stand,stand,stand
"[""A"", ""Q""]",8,stand,stand,stand
"[""A"", ""Q""]",8,stand,stand,stand
"[""A"", ""Q""]",8,stand,stand,stand
"[""A"", ""Q""]",8,stand,stand,stand
"[""A"", ""Q""]",8,stand,stand,stand
"[""5"", ""5""]",Q,double,split,double down
"[""5"", ""5""]",Q,double,split,double down
"[""5"", ""5""]",Q,double,split,double down
"[""5"", ""5""]",Q,double,split,double down
"[""5"", ""5""]",Q,double,split,hit
"[""5"", ""5""]",Q,double,split,double down
"[""5"", ""5""]",Q,double,split,double down
"[""5"", ""5""]",Q,double,split,double down
"[""5"", ""5""]",Q,double,split,double down
"[""5"", ""5""]",Q,double,split,hit
"[""5"", ""5""]",Q,double,split,double down
"[""5"", ""5""]",Q,double,split,double down
"[""5"", ""5""]",Q,double,split,double down
"[""5"", ""5""]",Q,double,split,double down
"[""5"", ""5""]",Q,double,split,hit
"[""5"", ""5""]",Q,double,split,double down
"[""5"", ""5""]",Q,double,split,double down
"[""5"", ""5""]",Q,double,split,double down
"[""5"", ""5""]",Q,double,split,double down
"[""5"", ""5""]",Q,double,split,hit
"[""5"", ""5""]",Q,double,split,double down
"[""5"", ""5""]",Q,double,split,double down
"[""5"", ""5""]",Q,double,split,double down
"[""5"", ""5""]",Q,double,split,double down
"[""5"", ""5""]",Q,double,split,hit
"[""7"", ""A""]",4,double,double down,double down
"[""7"", ""A""]",4,double,double down,double down
"[""7"", ""A""]",4,double,double down,double down
"[""7"", ""A""]",4,double,double down,double down
"[""7"", ""A""]",4,double,double down,double down
"[""7"", ""A""]",4,double,double down,double down
"[""7"", ""A""]",4,double,double down,double down
"[""7"", ""A""]",4,double,double down,double down
"[""7"", ""A""]",4,double,double down,double down
"[""7"", ""A""]",4,double,double down,double down
"[""3"", ""K""]",10,hit,hit,hit
"[""3"", ""K""]",10,hit,hit,hit
"[""3"", ""K""]",10,hit,hit,hit
"[""3"", ""K"", ""Q""]",10,stand,stand,stand
"[""8"", ""7""]",10,hit,hit,surrender
"[""8"", ""7""]",10,hit,hit,surrender
"[""8"", ""7""]",10,hit,hit,surrender
"[""8"", ""7""]",10,hit,hit,surrender
"[""8"", ""7""]",10,hit,hit,surrender
"[""8"", ""7""]",10,hit,hit,surrender
"[""8"", ""7""]",10,hit,hit,surrender
"[""8"", ""7""]",10,hit,hit,surrender
"[""8"", ""7""]",10,hit,hit,surrender
"[""8"", ""7""]",10,hit,hit,surrender
"[""8"", ""7""]",10,hit,hit,surrender
"[""8"", ""7""]",10,hit,hit,surrender
"[""Q"", ""10""]",7,stand,stand,stand
"[""Q"", ""10""]",7,stand,stand,stand
"[""Q"", ""10""]",7,stand,stand,stand
"[""Q"", ""10""]",7,stand,stand,stand
"[""Q"", ""10""]",7,stand,stand,stand
"[""Q"", ""10""]",7,stand,stand,stand
"[""Q"", ""10""]",7,stand,stand,stand
"[""Q"", ""10""]",7,stand,stand,stand
"[""Q"", ""10""]",7,stand,stand,stand
"[""Q"", ""10""]",7,stand,stand,stand
"[""Q"", ""10""]",7,stand,stand,stand
"[""Q"", ""10""]",7,stand,stand,stand
"[""Q"", ""10""]",7,stand,stand,stand
"[""Q"", ""10""]",7,stand,stand,stand
"[""Q"", ""10""]",7,stand,stand,stand
"[""Q"", ""6""]",3,hit,double down,stand
"[""Q"", ""6""]",3,hit,double down,stand
"[""Q"", ""6""]",3,hit,double down,stand
"[""Q"", ""6""]",3,hit,double down,stand
"[""Q"", ""6""]",3,hit,double down,stand
"[""Q"", ""6""]",3,hit,double down,stand
"[""9"", ""10""]",5,stand,double down,stand
"[""9"", ""10""]",5,stand,double down,stand
"[""9"", ""10""]",5,stand,double down,stand
"[""9"", ""10""]",5,stand,double down,stand
"[""9"", ""10""]",5,stand,double down,stand
"[""9"", ""10""]",5,stand,double down,stand
"[""9"", ""10""]",5,stand,double down,stand
"[""9"", ""10""]",5,stand,double down,stand
"[""9"", ""10""]",5,stand,double down,stand
"[""9"", ""10""]",5,stand,double down,stand
"[""9"", ""10""]",5,stand,double down,stand
"[""9"", ""10""]",5,stand,double down,stand
"[""9"", ""10""]",5,stand,double down,stand
"[""9"", ""10""]",5,stand,double down,stand
"[""9"", ""10""]",5,stand,double down,stand
"[""J"", ""3""]",K,hit,hit,hit
"[""J"", ""3""]",K,hit,hit,hit
"[""J"", ""3""]",K,hit,hit,hit
"[""J"", ""3""]",K,hit,hit,hit
"[""K"", ""2""]",K,hit,hit,hit
"[""K"", ""2""]",K,hit,hit,hit
"[""K"", ""2""]",K,hit,hit,hit
"[""K"", ""2""]",K,hit,hit,hit
"[""K"", ""2""]",K,hit,hit,hit
"[""K"", ""2""]",K,hit,hit,hit
"[""K"", ""2""]",K,hit,hit,hit
"[""K"", ""2""]",K,hit,hit,hit
"[""K"", ""2""]",K,hit,hit,hit
"[""K"", ""2""]",K,hit,hit,hit
"[""K"", ""2""]",K,hit,hit,hit
"[""K"", ""2""]",K,hit,hit,hit
"[""K"", ""2""]",K,hit,hit,hit
"[""K"", ""2""]",K,hit,hit,hit
"[""K"", ""2""]",K,hit,hit,hit
"[""5"", ""3""]",2,hit,double down,double down
"[""5"", ""3""]",2,hit,double down,hit
"[""5"", ""3""]",2,hit,double down,double down
"[""5"", ""3""]",2,hit,double down,hit
"[""5"", ""3""]",2,hit,double down,double down
"[""5"", ""3""]",2,hit,double down,hit
"[""5"", ""3""]",2,hit,double down,double down
"[""5"", ""3""]",2,hit,double down,hit
"[""5"", ""3""]",2,hit,double down,double down
"[""5"", ""3""]",2,hit,double down,hit
"[""5"", ""3""]",2,hit,double down,double down
"[""5"", ""3""]",2,hit,double down,hit
"[""K"", ""5""]",A,surrender,double down,surrender
"[""K"", ""5""]",A,surrender,double down,surrender
"[""K"", ""5""]",A,surrender,double down,surrender
"[""K"", ""5""]",A,surrender,double down,surrender
"[""K"", ""5""]",A,surrender,double down,surrender
"[""7"", ""6""]",10,hit,hit,hit
"[""7"", ""6""]",10,hit,hit,hit
"[""7"", ""6""]",10,hit,hit,hit
"[""7"", ""6""]",10,hit,hit,hit
"[""7"", ""6""]",10,hit,hit,hit
"[""7"", ""6""]",10,hit,hit,hit
"[""A"", ""K""]",9,stand,Stand,stand
"[""A"", ""K""]",9,stand,Stand,stand
