Player Hand,Dealer Card,Claude Choice,Gemini Choice,GPT Choice,AI Decision,Claude Mismatch,Gemini Mismatch,ChatGPT Mismatch
"[""6"", ""10""]",10,hit,double down,surrender,hit,0,1,1
"[""6"", ""10""]",10,hit,double down,surrender,hit,0,1,1
"[""6"", ""10""]",10,hit,double down,surrender,hit,0,1,1
"[""5"", ""A""]",J,hit,double down,hit,hit,0,1,0
"[""5"", ""A""]",J,hit,double down,hit,hit,0,1,0
"[""5"", ""A""]",J,hit,double down,hit,hit,0,1,0
"[""5"", ""A""]",J,hit,double down,hit,hit,0,1,0
"[""K"", ""4""]",A,hit,hit,surrender,hit,0,0,1
"[""K"", ""4""]",A,hit,hit,surrender,hit,0,0,1
"[""K"", ""4""]",A,hit,hit,surrender,hit,0,0,1
"[""K"", ""4""]",A,hit,hit,surrender,hit,0,0,1
"[""K"", ""4""]",A,hit,hit,surrender,hit,0,0,1
"[""2"", ""2""]",5,split,split,split,split,0,0,0
"[""2"", ""2""]",5,split,split,split,split,0,0,0
"[""2"", ""2""]",5,split,split,split,split,0,0,0
"[""2"", ""2""]",5,split,split,split,split,0,0,0
"[""2"", ""2""]",5,split,split,split,split,0,0,0
"[""2"", ""2""]",5,split,split,split,split,0,0,0
"[""2"", ""J""]",6,hit,double down,stand,stand,1,1,0
"[""2"", ""J""]",6,hit,double down,stand,stand,1,1,0
"[""2"", ""J""]",6,hit,double down,stand,stand,1,1,0
"[""2"", ""J""]",6,hit,double down,stand,stand,1,1,0
"[""2"", ""J""]",6,hit,double down,stand,stand,1,1,0
"[""2"", ""J""]",6,hit,double down,stand,stand,1,1,0
"[""6"", ""6""]",A,split,split,surrender,hit,1,1,1
"[""6"", ""6""]",A,split,split,surrender,hit,1,1,1
"[""6"", ""6""]",A,split,split,surrender,hit,1,1,1
"[""6"", ""6""]",A,split,split,surrender,hit,1,1,1
"[""6"", ""6""]",A,split,split,surrender,hit,1,1,1
"[""6"", ""6""]",A,split,split,surrender,hit,1,1,1
"[""5"", ""A""]",5,double down,double down,Double Down,stand,1,1,1
"[""5"", ""A""]",5,double down,double down,double down,stand,1,1,1
"[""5"", ""A""]",5,double down,double down,double down,stand,1,1,1
"[""5"", ""A""]",5,double down,double down,Double Down,stand,1,1,1
"[""5"", ""A""]",5,double down,double down,double down,stand,1,1,1
"[""5"", ""A""]",5,double down,double down,double down,stand,1,1,1
"[""5"", ""A""]",5,double down,double down,Double Down,stand,1,1,1
"[""5"", ""A""]",5,double down,double down,double down,stand,1,1,1
"[""5"", ""A""]",5,double down,double down,double down,stand,1,1,1
"[""5"", ""A""]",5,double down,double down,Double Down,stand,1,1,1
"[""5"", ""A""]",5,double down,double down,double down,stand,1,1,1
"[""5"", ""A""]",5,double down,double down,double down,stand,1,1,1
"[""5"", ""A""]",5,double down,double down,Double Down,stand,1,1,1
"[""5"", ""A""]",5,double down,double down,double down,stand,1,1,1
"[""5"", ""A""]",5,double down,double down,double down,stand,1,1,1
"[""6"", ""4""]",Q,hit,hit,hit,hit,0,0,0
"[""6"", ""4""]",Q,hit,hit,hit,hit,0,0,0
"[""6"", ""4""]",Q,hit,hit,hit,hit,0,0,0
"[""6"", ""4""]",Q,hit,hit,hit,hit,0,0,0
"[""6"", ""4""]",Q,hit,hit,hit,hit,0,0,0
"[""A"", ""8""]",Q,stand,stand,stand,stand,0,0,0
"[""A"", ""8""]",Q,stand,stand,stand,stand,0,0,0
"[""A"", ""8""]",Q,stand,stand,stand,stand,0,0,0
"[""A"", ""8""]",Q,stand,stand,stand,stand,0,0,0
"[""K"", ""A""]",8,stand,Stand,stand,stand,0,0,0
"[""K"", ""A""]",8,stand,stand,stand,stand,0,0,0
"[""K"", ""A""]",8,stand,stand,stand,stand,0,0,0
"[""6"", ""Q""]",A,hit,double down,surrender,hit,0,1,1
"[""6"", ""Q""]",A,hit,double down,surrender,hit,0,1,1
"[""6"", ""Q""]",A,hit,double down,surrender,hit,0,1,1
"[""6"", ""Q""]",A,hit,double down,surrender,hit,0,1,1
"[""6"", ""Q""]",A,hit,double down,surrender,hit,0,1,1
"[""6"", ""Q""]",A,hit,double down,surrender,hit,0,1,1
"[""4"", ""6""]",A,hit,double down,hit,hit,0,1,0
"[""4"", ""6""]",A,hit,double down,hit,hit,0,1,0
"[""4"", ""6""]",A,hit,hit,hit,hit,0,0,0
"[""4"", ""6""]",A,hit,hit,hit,hit,0,0,0
"[""4"", ""6""]",A,hit,hit,hit,hit,0,0,0
"[""4"", ""6""]",A,hit,hit,hit,hit,0,0,0
"[""4"", ""6""]",A,hit,hit,hit,hit,0,0,0
"[""4"", ""6""]",A,hit,hit,hit,hit,0,0,0
"[""4"", ""6""]",A,hit,hit,hit,hit,0,0,0
"[""4"", ""6""]",A,hit,hit,hit,hit,0,0,0
"[""3"", ""9""]",J,hit,double down,hit,hit,0,1,0
"[""3"", ""9""]",J,hit,hit,hit,hit,0,0,0
"[""3"", ""9""]",J,hit,hit,hit,hit,0,0,0
"[""3"", ""9""]",J,hit,hit,hit,hit,0,0,0
"[""3"", ""9""]",J,hit,hit,hit,hit,0,0,0
"[""3"", ""9""]",J,hit,hit,hit,hit,0,0,0
"[""7"", ""5""]",J,hit,double down,hit,hit,0,1,0
"[""7"", ""5""]",J,hit,double down,hit,hit,0,1,0
"[""7"", ""5""]",J,hit,double down,hit,hit,0,1,0
"[""7"", ""5""]",J,hit,double down,surrender,hit,0,1,1
"[""7"", ""5""]",J,hit,hit,hit,hit,0,0,0
"[""7"", ""5""]",J,hit,hit,hit,hit,0,0,0
"[""7"", ""5""]",J,hit,hit,hit,hit,0,0,0
"[""7"", ""5""]",J,hit,hit,surrender,hit,0,0,1
"[""7"", ""5""]",J,hit,hit,hit,hit,0,0,0
"[""7"", ""5""]",J,hit,hit,hit,hit,0,0,0
"[""7"", ""5""]",J,hit,hit,hit,hit,0,0,0
"[""7"", ""5""]",J,hit,hit,surrender,hit,0,0,1
"[""2"", ""4""]",6,hit,double down,hit,hit,0,1,0
"[""2"", ""4""]",6,hit,double down,hit,hit,0,1,0
"[""2"", ""4""]",6,hit,double down,hit,hit,0,1,0
"[""2"", ""4""]",6,hit,double down,hit,hit,0,1,0
"[""2"", ""4""]",6,hit,double down,hit,hit,0,1,0
"[""2"", ""4""]",6,hit,double down,hit,hit,0,1,0
"[""2"", ""4""]",6,hit,double down,hit,hit,0,1,0
"[""2"", ""4""]",6,hit,double down,hit,hit,0,1,0
"[""2"", ""4""]",6,hit,double down,hit,hit,0,1,0
"[""2"", ""4""]",6,hit,double down,hit,hit,0,1,0
"[""2"", ""4""]",6,hit,double down,hit,hit,0,1,0
"[""2"", ""4""]",6,hit,double down,hit,hit,0,1,0
"[""J"", ""Q""]",5,stand,stand,stand,stand,0,0,0
"[""J"", ""Q""]",5,stand,stand,stand,stand,0,0,0
"[""J"", ""Q""]",5,stand,stand,stand,stand,0,0,0
"[""9"", ""K""]",9,stand,Stand,stand,stand,0,0,0
"[""9"", ""K""]",9,stand,Stand,stand,stand,0,0,0
"[""9"", ""K""]",9,stand,stand,stand,stand,0,0,0
"[""3"", ""5""]",4,hit,double down,double down,hit,0,1,1
"[""3"", ""5""]",4,hit,double down,double down,hit,0,1,1
"[""3"", ""5""]",4,hit,double down,double down,hit,0,1,1
"[""3"", ""8""]",6,hit,double down,Double Down,double down,1,0,0
"[""3"", ""8""]",6,hit,double down,double down,double down,1,0,0
"[""3"", ""8""]",6,hit,double down,double down,double down,1,0,0
"[""3"", ""8""]",6,hit,double down,Double Down,double down,1,0,0
"[""3"", ""8""]",6,hit,double down,double down,double down,1,0,0
"[""3"", ""8""]",6,hit,double down,double down,double down,1,0,0
"[""3"", ""8""]",6,hit,double down,Double Down,double down,1,0,0
"[""3"", ""8""]",6,hit,double down,double down,double down,1,0,0
"[""3"", ""8""]",6,hit,double down,double down,double down,1,0,0
"[""3"", ""8""]",6,hit,double down,Double Down,double down,1,0,0
"[""3"", ""8""]",6,hit,double down,double down,double down,1,0,0
"[""3"", ""8""]",6,hit,double down,double down,double down,1,0,0
"[""3"", ""8""]",6,hit,double down,Double Down,double down,1,0,0
"[""3"", ""8""]",6,hit,double down,double down,double down,1,0,0
"[""3"", ""8""]",6,hit,double down,double down,double down,1,0,0
"[""3"", ""8""]",6,hit,double down,Double Down,double down,1,0,0
"[""3"", ""8""]",6,hit,double down,double down,double down,1,0,0
"[""3"", ""8""]",6,hit,double down,double down,double down,1,0,0
"[""4"", ""9""]",K,hit,hit,surrender,hit,0,0,1
"[""4"", ""9""]",K,hit,hit,surrender,hit,0,0,1
"[""4"", ""9""]",K,hit,hit,surrender,hit,0,0,1
"[""8"", ""9""]",9,hit,double down,stand,stand,1,1,0
"[""8"", ""9""]",9,hit,double down,stand,stand,1,1,0
"[""8"", ""9""]",9,hit,double_down,stand,stand,1,1,0
"[""8"", ""9""]",9,hit,hit,stand,stand,1,1,0
"[""6"", ""8""]",2,hit,hit,stand,stand,1,1,0
"[""6"", ""8""]",2,hit,hit,stand,stand,1,1,0
"[""6"", ""8""]",2,hit,hit,stand,stand,1,1,0
"[""6"", ""8""]",2,hit,hit,stand,stand,1,1,0
"[""6"", ""8""]",2,hit,hit,stand,stand,1,1,0
"[""6"", ""8""]",2,hit,hit,stand,stand,1,1,0
"[""7"", ""9""]",5,stand,double down,stand,stand,0,1,0
"[""7"", ""9""]",5,stand,double down,stand,stand,0,1,0
"[""7"", ""9""]",5,stand,double down,stand,stand,0,1,0
"[""7"", ""9""]",5,stand,double down,stand,stand,0,1,0
"[""7"", ""9""]",5,stand,double down,stand,stand,0,1,0
"[""7"", ""9""]",5,stand,double down,stand,stand,0,1,0
"[""7"", ""9""]",5,stand,double down,stand,stand,0,1,0
"[""7"", ""9""]",5,stand,double down,stand,stand,0,1,0
"[""7"", ""7""]",J,split,split,hit,hit,1,1,0
"[""7"", ""7""]",J,split,split,hit,hit,1,1,0
"[""7"", ""7""]",J,split,split,hit,hit,1,1,0
"[""7"", ""7""]",J,split,split,hit,hit,1,1,0
"[""K"", ""5""]",2,hit,double down,stand,stand,1,1,0
"[""K"", ""5""]",2,hit,double down,stand,stand,1,1,0
"[""K"", ""5""]",2,hit,double down,stand,stand,1,1,0
"[""K"", ""Q""]",2,stand,stand,stand,stand,0,0,0
"[""K"", ""Q""]",2,stand,stand,stand,stand,0,0,0
"[""K"", ""Q""]",2,stand,stand,stand,stand,0,0,0
"[""K"", ""Q""]",2,stand,stand,stand,stand,0,0,0
"[""K"", ""Q""]",2,stand,stand,stand,stand,0,0,0
"[""K"", ""Q""]",2,stand,stand,stand,stand,0,0,0
"[""K"", ""Q""]",2,stand,stand,stand,stand,0,0,0
"[""K"", ""Q""]",2,stand,stand,stand,stand,0,0,0
"[""K"", ""Q""]",2,stand,stand,stand,stand,0,0,0
"[""K"", ""Q""]",2,stand,stand,stand,stand,0,0,0
"[""K"", ""Q""]",2,stand,stand,stand,stand,0,0,0
"[""K"", ""Q""]",2,stand,stand,stand,stand,0,0,0
"[""K"", ""Q""]",2,stand,stand,stand,stand,0,0,0
"[""K"", ""Q""]",2,stand,stand,stand,stand,0,0,0
"[""K"", ""Q""]",2,stand,stand,stand,stand,0,0,0
"[""K"", ""Q""]",2,stand,stand,stand,stand,0,0,0
"[""K"", ""Q""]",2,stand,stand,stand,stand,0,0,0
"[""K"", ""Q""]",2,stand,stand,stand,stand,0,0,0
"[""K"", ""Q""]",2,stand,stand,stand,stand,0,0,0
"[""K"", ""Q""]",2,stand,stand,stand,stand,0,0,0
"[""K"", ""Q""]",2,stand,stand,stand,stand,0,0,0
"[""K"", ""Q""]",2,stand,stand,stand,stand,0,0,0
"[""K"", ""Q""]",2,stand,stand,stand,stand,0,0,0
"[""K"", ""Q""]",2,stand,stand,stand,stand,0,0,0
"[""K"", ""Q""]",2,stand,stand,stand,stand,0,0,0
"[""2"", ""2""]",2,split,split,split,split,0,0,0
"[""2"", ""2""]",2,split,split,split,split,0,0,0
"[""2"", ""2""]",2,split,split,split,split,0,0,0
"[""2"", ""2""]",2,split,split,split,split,0,0,0
"[""2"", ""2""]",2,split,split,split,split,0,0,0
"[""2"", ""2""]",2,split,split,split,split,0,0,0
"[""2"", ""2""]",2,split,split,split,split,0,0,0
"[""4"", ""5""]",10,hit,hit,hit,hit,0,0,0
"[""4"", ""5""]",10,hit,hit,hit,hit,0,0,0
"[""2"", ""J""]",8,hit,double down,hit,hit,0,1,0
"[""2"", ""J""]",8,hit,double down,hit,hit,0,1,0
"[""2"", ""J""]",8,hit,double down,hit,hit,0,1,0
"[""2"", ""J""]",8,hit,double down,hit,hit,0,1,0
"[""2"", ""J""]",8,hit,double down,hit,hit,0,1,0
"[""2"", ""J""]",8,hit,double down,hit,hit,0,1,0
"[""2"", ""J""]",8,hit,double down,hit,hit,0,1,0
"[""2"", ""J""]",8,hit,double down,hit,hit,0,1,0
"[""2"", ""J""]",8,hit,double down,hit,hit,0,1,0
"[""2"", ""J""]",8,hit,double down,hit,hit,0,1,0
"[""2"", ""J""]",8,hit,double down,hit,hit,0,1,0
"[""2"", ""J""]",8,hit,double down,hit,hit,0,1,0
"[""9"", ""4""]",6,hit,double down,stand,stand,1,1,0
"[""9"", ""4""]",6,hit,double down,stand,stand,1,1,0
"[""9"", ""4""]",6,hit,double down,stand,stand,1,1,0
"[""9"", ""4""]",6,hit,double down,stand,stand,1,1,0
"[""3"", ""10""]",8,hit,double down,Hit,hit,0,1,0
"[""3"", ""10""]",8,hit,double down,hit,hit,0,1,0
"[""3"", ""10""]",8,hit,double down,hit,hit,0,1,0
"[""3"", ""10""]",8,hit,double down,Hit,hit,0,1,0
"[""3"", ""10""]",8,hit,double down,hit,hit,0,1,0
"[""3"", ""10""]",8,hit,double down,hit,hit,0,1,0
"[""3"", ""10""]",8,hit,double_down,Hit,hit,0,1,0
"[""3"", ""10""]",8,hit,double_down,hit,hit,0,1,0
"[""3"", ""10""]",8,hit,double_down,hit,hit,0,1,0
"[""3"", ""10""]",8,hit,double_down,Hit,hit,0,1,0
"[""3"", ""10""]",8,hit,double_down,hit,hit,0,1,0
"[""3"", ""10""]",8,hit,double_down,hit,hit,0,1,0
"[""7"", ""K""]",9,hit,stand,stand,stand,1,0,0
"[""7"", ""K""]",9,hit,stand,stand,stand,1,0,0
"[""7"", ""K""]",9,hit,stand,stand,stand,1,0,0
"[""7"", ""K""]",9,hit,stand,stand,stand,1,0,0
"[""7"", ""K""]",9,hit,stand,stand,stand,1,0,0
"[""7"", ""K""]",9,hit,stand,stand,stand,1,0,0
"[""7"", ""3""]",9,hit,double down,double down,double down,1,0,0
"[""7"", ""3""]",9,hit,double down,double down,double down,1,0,0
"[""7"", ""3""]",9,hit,double down,double down,double down,1,0,0
"[""7"", ""3""]",9,hit,double down,double down,double down,1,0,0
"[""7"", ""3""]",9,hit,hit,double down,double down,1,1,0
"[""7"", ""3""]",9,hit,hit,double down,double down,1,1,0
"[""7"", ""3""]",9,hit,hit,double down,double down,1,1,0
"[""7"", ""3""]",9,hit,hit,double down,double down,1,1,0
"[""2"", ""3""]",A,hit,hit,hit,hit,0,0,0
"[""2"", ""3""]",A,hit,hit,hit,hit,0,0,0
"[""2"", ""3""]",A,hit,hit,hit,hit,0,0,0
"[""2"", ""3""]",A,hit,hit,hit,hit,0,0,0
"[""2"", ""3""]",A,hit,hit,hit,hit,0,0,0
"[""2"", ""3""]",A,hit,hit,hit,hit,0,0,0
"[""2"", ""3""]",A,hit,hit,hit,hit,0,0,0
"[""2"", ""3""]",A,hit,hit,hit,hit,0,0,0
"[""2"", ""3""]",A,hit,hit,hit,hit,0,0,0
"[""2"", ""3""]",A,hit,hit,hit,hit,0,0,0
"[""2"", ""3""]",A,hit,hit,hit,hit,0,0,0
"[""2"", ""3""]",A,hit,hit,hit,hit,0,0,0
"[""2"", ""3""]",A,hit,hit,hit,hit,0,0,0
"[""2"", ""3""]",A,hit,hit,hit,hit,0,0,0
"[""2"", ""3""]",A,hit,hit,hit,hit,0,0,0
"[""2"", ""3""]",A,hit,hit,hit,hit,0,0,0
"[""2"", ""3""]",A,hit,hit,hit,hit,0,0,0
"[""2"", ""3""]",A,hit,hit,hit,hit,0,0,0
"[""6"", ""Q""]",5,hit,double down,stand,stand,1,1,0
"[""6"", ""Q""]",5,hit,double down,stand,stand,1,1,0
"[""6"", ""Q""]",5,hit,double down,stand,stand,1,1,0
"[""6"", ""Q""]",5,hit,double down,stand,stand,1,1,0
"[""6"", ""Q""]",5,hit,double down,stand,stand,1,1,0
"[""3"", ""4""]",A,hit,hit,hit,hit,0,0,0
"[""3"", ""4""]",A,hit,hit,hit,hit,0,0,0
"[""3"", ""4""]",A,hit,hit,hit,hit,0,0,0
"[""3"", ""4""]",A,hit,hit,hit,hit,0,0,0
"[""3"", ""4""]",A,hit,hit,hit,hit,0,0,0
"[""3"", ""4""]",A,hit,hit,hit,hit,0,0,0
"[""3"", ""4""]",A,hit,hit,hit,hit,0,0,0
"[""3"", ""4""]",A,hit,hit,hit,hit,0,0,0
"[""8"", ""7""]",J,hit,hit,surrender,hit,0,0,1
"[""8"", ""7""]",J,hit,hit,surrender,hit,0,0,1
"[""8"", ""7""]",J,hit,hit,surrender,hit,0,0,1
"[""8"", ""7""]",J,hit,hit,surrender,hit,0,0,1
"[""8"", ""7""]",J,hit,hit,surrender,hit,0,0,1
"[""8"", ""7""]",J,hit,hit,surrender,hit,0,0,1
"[""8"", ""7""]",J,hit,hit,surrender,hit,0,0,1
"[""8"", ""7""]",J,hit,hit,surrender,hit,0,0,1
"[""8"", ""7""]",J,hit,hit,surrender,hit,0,0,1
"[""8"", ""7""]",J,hit,hit,surrender,hit,0,0,1
"[""8"", ""7""]",J,hit,hit,surrender,hit,0,0,1
"[""8"", ""K""]",J,hit,stand,stand,stand,1,0,0
"[""8"", ""K""]",J,hit,stand,stand,stand,1,0,0
"[""8"", ""K""]",J,hit,stand,stand,stand,1,0,0
"[""8"", ""K""]",J,hit,stand,stand,stand,1,0,0
"[""8"", ""K""]",J,hit,stand,stand,stand,1,0,0
"[""8"", ""K""]",J,hit,stand,stand,stand,1,0,0
"[""8"", ""K""]",J,hit,stand,stand,stand,1,0,0
"[""8"", ""K""]",J,hit,stand,stand,stand,1,0,0
"[""8"", ""K""]",J,hit,stand,stand,stand,1,0,0
"[""8"", ""K""]",J,hit,stand,stand,stand,1,0,0
"[""7"", ""5""]",9,hit,double down,hit,hit,0,1,0
"[""7"", ""5""]",9,hit,double down,hit,hit,0,1,0
"[""7"", ""5""]",9,hit,double down,hit,hit,0,1,0
"[""7"", ""5""]",9,hit,double down,hit,hit,0,1,0
"[""7"", ""5""]",9,hit,double down,hit,hit,0,1,0
"[""7"", ""5""]",9,hit,double down,hit,hit,0,1,0
"[""7"", ""5""]",9,hit,double down,hit,hit,0,1,0
"[""7"", ""5""]",9,hit,double down,hit,hit,0,1,0
"[""7"", ""5""]",9,hit,hit,hit,hit,0,0,0
"[""7"", ""5""]",9,hit,hit,hit,hit,0,0,0
"[""7"", ""5""]",9,hit,hit,hit,hit,0,0,0
"[""7"", ""5""]",9,hit,hit,hit,hit,0,0,0
"[""7"", ""5""]",9,hit,hit,hit,hit,0,0,0
"[""7"", ""5""]",9,hit,hit,hit,hit,0,0,0
"[""J"", ""4""]",6,hit,double down,double down,stand,1,1,1
"[""J"", ""4""]",6,hit,double down,stand,stand,1,1,0
"[""J"", ""4""]",6,hit,double down,stand,stand,1,1,0
"[""J"", ""4""]",6,hit,double down,stand,stand,1,1,0
"[""J"", ""4""]",6,hit,double down,double down,stand,1,1,1
"[""J"", ""4""]",6,hit,double down,stand,stand,1,1,0
"[""J"", ""4""]",6,hit,double down,stand,stand,1,1,0
"[""J"", ""4""]",6,hit,double down,stand,stand,1,1,0
"[""J"", ""4""]",6,hit,double down,double down,stand,1,1,1
"[""J"", ""4""]",6,hit,double down,stand,stand,1,1,0
"[""J"", ""4""]",6,hit,double down,stand,stand,1,1,0
"[""J"", ""4""]",6,hit,double down,stand,stand,1,1,0
"[""J"", ""4""]",6,hit,double down,double down,stand,1,1,1
"[""J"", ""4""]",6,hit,double down,stand,stand,1,1,0
"[""J"", ""4""]",6,hit,double down,stand,stand,1,1,0
"[""J"", ""4""]",6,hit,double down,stand,stand,1,1,0
"[""7"", ""K""]",J,hit,stand,stand,stand,1,0,0
"[""7"", ""K""]",J,hit,stand,stand,stand,1,0,0
"[""7"", ""K""]",J,hit,stand,stand,stand,1,0,0
"[""7"", ""K""]",J,hit,stand,stand,stand,1,0,0
"[""A"", ""4""]",2,hit,double down,double down,stand,1,1,1
"[""A"", ""4""]",2,hit,double down,hit,stand,1,1,1
"[""A"", ""4""]",2,hit,double down,double down,stand,1,1,1
"[""A"", ""4""]",2,hit,double down,hit,stand,1,1,1
"[""A"", ""4""]",2,hit,double down,double down,stand,1,1,1
"[""A"", ""4""]",2,hit,double down,hit,stand,1,1,1
"[""A"", ""4""]",2,hit,double down,double down,stand,1,1,1
"[""A"", ""4""]",2,hit,double down,hit,stand,1,1,1
"[""Q"", ""J""]",K,stand,stand,stand,stand,0,0,0
"[""Q"", ""J""]",K,stand,stand,stand,stand,0,0,0
"[""Q"", ""J""]",K,stand,stand,stand,stand,0,0,0
"[""Q"", ""J""]",K,stand,stand,stand,stand,0,0,0
"[""Q"", ""J""]",K,stand,stand,stand,stand,0,0,0
"[""Q"", ""J""]",K,stand,stand,stand,stand,0,0,0
"[""Q"", ""J""]",K,stand,stand,stand,stand,0,0,0
"[""Q"", ""J""]",K,stand,stand,stand,stand,0,0,0
"[""Q"", ""J""]",K,stand,stand,stand,stand,0,0,0
"[""Q"", ""J""]",K,stand,stand,stand,stand,0,0,0
"[""Q"", ""J""]",K,stand,stand,stand,stand,0,0,0
"[""Q"", ""J""]",K,stand,stand,stand,stand,0,0,0
"[""K"", ""5""]",2,hit,double down,stand,stand,1,1,0
"[""K"", ""5""]",2,hit,double down,stand,stand,1,1,0
"[""K"", ""5""]",2,hit,double down,stand,stand,1,1,0
"[""6"", ""8""]",2,hit,hit,stand,stand,1,1,0
"[""6"", ""8""]",2,hit,hit,stand,stand,1,1,0
"[""6"", ""8""]",2,hit,hit,stand,stand,1,1,0
"[""6"", ""8""]",2,hit,hit,stand,stand,1,1,0
"[""6"", ""8""]",2,hit,hit,stand,stand,1,1,0
"[""6"", ""8""]",2,hit,hit,stand,stand,1,1,0
"[""Q"", ""A""]",8,stand,stand,stand,stand,0,0,0
"[""Q"", ""A""]",8,stand,stand,stand,stand,0,0,0
"[""Q"", ""A""]",8,stand,stand,stand,stand,0,0,0
"[""Q"", ""A""]",8,stand,stand,stand,stand,0,0,0
"[""Q"", ""A""]",8,stand,stand,stand,stand,0,0,0
"[""Q"", ""A""]",8,stand,stand,stand,stand,0,0,0
"[""Q"", ""A""]",8,stand,stand,stand,stand,0,0,0
"[""Q"", ""A""]",8,stand,stand,stand,stand,0,0,0
"[""Q"", ""A""]",8,stand,stand,stand,stand,0,0,0
"[""Q"", ""A""]",8,stand,stand,stand,stand,0,0,0
"[""Q"", ""A""]",8,stand,stand,stand,stand,0,0,0
